t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
30243.0,37386.0,32322.0,12475.0,12562.0,28312.0,33518.0,33400.0,9807.0,22085.0,20886.0,27657.0,25463.0,23388.0,30113.0,23805.733333333334,6573.768330434396,5,0.5,5.0,47.41,10.0,2.93
31498.0,37386.0,25413.0,30532.0,27926.0,33074.0,30518.0,17368.0,18217.0,26870.0,25037.0,22493.0,28435.0,30843.0,32577.0,26158.733333333334,4898.314866246237,8,4.06,5.0,11.74,6.0,17.52
30014.0,37355.0,29490.0,18987.0,29075.0,14520.0,30649.0,21863.0,30463.0,30679.0,28612.0,27172.0,26870.0,29174.0,29890.0,24968.1,5807.201026025074,6,7.81,10.0,22.44,11.0,7.55
30149.0,37370.0,30541.0,18344.0,22275.0,30039.0,27104.0,18022.0,26364.0,24225.0,23238.0,23677.0,29272.0,27388.0,26629.0,25634.433333333334,5082.066506736102,5,5.84,7.0,11.46,7.0,8.95
29640.0,37296.0,24521.0,11263.0,12462.0,20489.0,34806.0,30076.0,17513.0,26726.0,27694.0,26825.0,27687.0,24878.0,29893.0,24487.566666666666,6538.383774212775,4,4.87,11.0,11.12,8.0,6.71
30718.0,36599.0,27174.0,18157.0,19991.0,26370.0,34790.0,18201.0,18582.0,17016.0,25297.0,31846.0,27763.0,25572.0,29373.0,24866.566666666666,5460.729540292416,5,2.47,9.0,26.04,5.0,28.16
27894.0,36952.0,36354.0,18845.0,17397.0,27323.0,26355.0,28432.0,30317.0,26592.0,29876.0,25947.0,31760.0,28049.0,15099.0,25852.6,5273.880902460098,5,5.94,3.0,41.78,7.0,5.7
28782.0,36878.0,33676.0,18055.0,14954.0,31148.0,36492.0,23145.0,18912.0,26397.0,31188.0,23064.0,30634.0,32172.0,31783.0,24259.7,6902.402582434612,5,6.72,3.0,45.41,10.0,5.83
28955.0,37201.0,30010.0,15948.0,17488.0,22507.0,34664.0,33106.0,34125.0,24379.0,14157.0,16361.0,18165.0,27916.0,25414.0,25183.833333333332,6120.330748597025,5,0.09,5.0,33.62,13.0,12.93
31390.0,37265.0,18659.0,16116.0,29588.0,30755.0,34750.0,28772.0,16490.0,23994.0,27903.0,28878.0,25434.0,29353.0,29408.0,26788.866666666665,5526.992176180057,4,3.48,6.0,12.63,8.0,5.81
32060.0,26110.0,16416.0,15450.0,15144.0,29954.0,27529.0,33977.0,24879.0,30211.0,29874.0,22664.0,30647.0,19989.0,29224.0,26753.6,5065.450461048192,8,0.38,4.0,40.45,18.0,0.41
28333.0,37244.0,31210.0,17900.0,29558.0,26050.0,26447.0,29646.0,26511.0,21060.0,19033.0,28728.0,26597.0,26912.0,24316.0,25019.266666666666,5039.223008449704,6,4.64,7.0,4.91,5.0,19.88
27297.0,36705.0,35502.0,20936.0,27879.0,31824.0,30945.0,19215.0,29323.0,28285.0,27828.0,30267.0,26774.0,28738.0,26459.0,25226.133333333335,5488.891859828255,8,8.88,3.0,43.12,6.0,20.06
31301.0,37126.0,20949.0,24884.0,31332.0,30507.0,32781.0,24598.0,32356.0,21863.0,24477.0,25675.0,22804.0,19493.0,31249.0,25425.833333333332,5107.406641883486,6,5.87,6.0,21.61,6.0,12.0
31527.0,31479.0,16090.0,15697.0,15211.0,19806.0,35066.0,36499.0,26321.0,20025.0,15408.0,24498.0,28232.0,25374.0,18222.0,22957.233333333334,5739.498838071337,4,3.23,2.0,37.22,5.0,33.21
30968.0,37465.0,22129.0,15503.0,12043.0,15689.0,20568.0,17454.0,20349.0,25910.0,21001.0,14041.0,26368.0,23381.0,22161.0,21777.8,5554.6333596377,5,0.03,15.0,4.56,14.0,1.65
30723.0,32969.0,13765.0,15776.0,22848.0,20736.0,29510.0,32208.0,17659.0,19169.0,26258.0,30428.0,30465.0,31741.0,32452.0,27252.1,5505.019596392611,8,3.4,2.0,16.86,6.0,22.93
30346.0,35506.0,17356.0,20841.0,18641.0,20033.0,29630.0,32678.0,26893.0,24477.0,25242.0,32605.0,18903.0,18188.0,29840.0,25693.866666666665,5113.758309588838,4,1.24,6.0,24.74,6.0,13.87
30642.0,37363.0,16959.0,11617.0,11700.0,11697.0,22356.0,35236.0,36206.0,24540.0,24097.0,28111.0,33495.0,16364.0,26106.0,22667.833333333332,7286.042488133657,4,6.52,5.0,48.57,6.0,42.81
28433.0,36928.0,36547.0,30901.0,29788.0,24376.0,27471.0,17490.0,21473.0,27427.0,19619.0,18828.0,29318.0,28238.0,29130.0,26299.933333333334,5012.947582233652,7,6.97,3.0,39.69,7.0,16.06
28100.0,37361.0,33826.0,24894.0,27179.0,22418.0,30375.0,30433.0,29086.0,24378.0,23714.0,29094.0,28964.0,25905.0,23994.0,25915.333333333332,4732.212550406229,6,4.49,3.0,37.35,8.0,13.64
31953.0,34069.0,18420.0,18961.0,15535.0,29160.0,30451.0,33110.0,31705.0,31057.0,33965.0,24350.0,29933.0,23859.0,29092.0,25972.233333333334,6264.21408043783,4,0.47,2.0,27.1,10.0,5.22
28705.0,37483.0,34895.0,17474.0,29167.0,27450.0,16093.0,13333.0,12015.0,13312.0,30706.0,26211.0,19917.0,25526.0,22823.0,23625.333333333332,5965.0505744340135,7,4.57,3.0,53.18,6.0,25.96
29038.0,37276.0,33856.0,16352.0,12763.0,29509.0,36917.0,27392.0,13120.0,13470.0,22019.0,17604.0,30585.0,21794.0,24253.0,22838.866666666665,6240.804311055498,5,9.73,3.0,55.73,15.0,3.2
32537.0,35233.0,25262.0,28442.0,28762.0,35447.0,37250.0,25565.0,25693.0,31414.0,33854.0,31288.0,31406.0,26709.0,32239.0,28576.133333333335,5201.936285226449,4,6.27,2.0,18.58,5.0,4.06
29262.0,36921.0,25304.0,16947.0,20099.0,24049.0,23385.0,21429.0,27345.0,29962.0,30627.0,29402.0,30777.0,28888.0,26992.0,25201.133333333335,4600.2616500465365,4,7.57,7.0,5.89,5.0,11.38
28595.0,37446.0,34481.0,16690.0,12450.0,15497.0,35922.0,20209.0,20392.0,18347.0,25007.0,15513.0,14716.0,16700.0,17206.0,21664.033333333333,6490.544324802213,6,8.7,3.0,66.01,17.0,0.24
28340.0,37002.0,36435.0,22119.0,24142.0,28415.0,31575.0,32744.0,19381.0,15711.0,22201.0,32420.0,27721.0,28809.0,33593.0,27820.866666666665,4769.298569904056,5,7.56,3.0,31.98,6.0,5.48
30032.0,37059.0,24558.0,21124.0,17936.0,23209.0,33993.0,24536.0,27592.0,31552.0,24250.0,31361.0,28756.0,29130.0,26129.0,25816.966666666667,5475.429903872592,4,9.2,13.0,16.43,9.0,0.23
31394.0,36697.0,17015.0,13876.0,18047.0,23090.0,26761.0,34006.0,31887.0,26456.0,23597.0,27560.0,28973.0,27266.0,32230.0,26300.866666666665,5875.449320312069,4,5.91,9.0,25.27,10.0,1.24
28039.0,37032.0,31709.0,15881.0,14943.0,15766.0,28802.0,29779.0,30219.0,29126.0,32101.0,28209.0,25647.0,28202.0,22842.0,26492.766666666666,5393.705941084376,4,6.31,5.0,41.83,6.0,31.97
30661.0,37234.0,23132.0,17448.0,23904.0,29708.0,33301.0,37066.0,17326.0,23388.0,27900.0,31497.0,29324.0,25535.0,21353.0,25113.566666666666,5973.924414672672,4,7.98,13.0,21.09,11.0,6.05
30604.0,37095.0,19824.0,17450.0,20337.0,29009.0,31761.0,28706.0,29375.0,28163.0,30300.0,29822.0,22458.0,18828.0,25575.0,25726.133333333335,5394.313825584204,4,2.01,7.0,18.11,5.0,13.54
30142.0,36727.0,28679.0,27472.0,26762.0,33740.0,29153.0,32479.0,33265.0,32948.0,21659.0,22203.0,21193.0,30589.0,30260.0,27876.5,4245.042581254829,5,7.29,4.0,0.71,7.0,9.42
31564.0,32561.0,12496.0,13614.0,12940.0,12367.0,20813.0,36102.0,36689.0,21909.0,20921.0,16379.0,14583.0,11313.0,16080.0,21380.266666666666,6796.5250284408,4,5.51,2.0,49.96,6.0,35.55
27261.0,36882.0,36758.0,30145.0,16128.0,27774.0,36241.0,22707.0,20142.0,19952.0,28458.0,26268.0,23805.0,25484.0,24647.0,24200.833333333332,5670.663083410576,8,6.25,3.0,52.14,12.0,14.14
30288.0,36897.0,28485.0,17881.0,25507.0,28378.0,25819.0,20734.0,30010.0,30424.0,28226.0,26836.0,33244.0,30929.0,24834.0,24455.2,5787.859623960024,6,2.48,7.0,10.81,6.0,9.15
30315.0,36758.0,27796.0,16195.0,17833.0,22825.0,25193.0,27866.0,26538.0,21038.0,16854.0,30197.0,28903.0,27099.0,28328.0,24491.333333333332,4683.386156285737,5,0.63,9.0,11.07,7.0,7.07
30002.0,35868.0,14591.0,16645.0,21341.0,23845.0,33569.0,27916.0,25312.0,31729.0,27477.0,29275.0,24686.0,26012.0,30487.0,25581.8,5446.461293965713,4,5.1,9.0,4.03,5.0,17.28
32315.0,31381.0,17930.0,20746.0,27715.0,35372.0,35664.0,17909.0,21264.0,25654.0,29135.0,31802.0,28969.0,30150.0,27809.0,25522.166666666668,4941.02813918543,4,0.28,2.0,24.79,10.0,1.0
30441.0,37053.0,25396.0,16776.0,27229.0,24577.0,35771.0,19277.0,26355.0,26784.0,29441.0,29687.0,30016.0,28665.0,30200.0,26700.566666666666,5144.8712888554255,4,2.68,6.0,2.99,6.0,0.74
29589.0,37181.0,27495.0,19929.0,32726.0,30361.0,36083.0,23456.0,22712.0,31501.0,25068.0,26373.0,23928.0,32513.0,29368.0,25956.2,5141.094542345368,4,9.99,6.0,21.53,6.0,12.04
29913.0,36803.0,22995.0,20613.0,16593.0,22150.0,22068.0,29798.0,20953.0,25500.0,29952.0,24032.0,21241.0,27906.0,32399.0,25683.9,5139.551260243123,4,7.39,7.0,13.92,7.0,11.87
31293.0,36986.0,18593.0,13845.0,16184.0,27675.0,30829.0,28319.0,28669.0,24769.0,26403.0,29721.0,28634.0,28784.0,23348.0,25275.733333333334,4593.061179165324,4,0.38,8.0,17.01,5.0,36.33
30080.0,37232.0,25289.0,14512.0,19223.0,21106.0,32717.0,37324.0,29057.0,21073.0,31742.0,29725.0,29207.0,24554.0,32299.0,25029.866666666665,7407.039123848491,4,6.99,6.0,19.44,6.0,15.76
30541.0,37286.0,20906.0,15123.0,25613.0,31603.0,36759.0,26050.0,14982.0,16482.0,16202.0,14919.0,18635.0,29430.0,33559.0,23855.133333333335,6674.783420872586,4,8.84,11.0,31.49,13.0,16.07
28879.0,37509.0,35128.0,19028.0,24301.0,29019.0,35009.0,32640.0,32282.0,29936.0,32083.0,29877.0,27811.0,25370.0,26555.0,26523.566666666666,5345.115400583561,5,9.3,3.0,36.93,6.0,7.43
28851.0,37386.0,35939.0,14668.0,17474.0,29473.0,15279.0,28845.0,19483.0,27812.0,18469.0,25200.0,15454.0,15068.0,25957.0,23853.9,6542.272873907559,6,2.24,3.0,53.7,12.0,2.96
30196.0,37249.0,25290.0,16899.0,25411.0,25401.0,29812.0,29692.0,29589.0,26359.0,24674.0,23245.0,19608.0,16731.0,14347.0,22387.6,5513.065956434768,6,3.85,6.0,13.48,6.0,15.37
26075.0,37325.0,36527.0,29197.0,24995.0,21952.0,28260.0,22161.0,22520.0,31811.0,30897.0,25530.0,28845.0,30460.0,28767.0,26555.966666666667,4911.037924806617,6,6.07,3.0,39.05,7.0,5.43
29738.0,37034.0,36044.0,24592.0,30472.0,31587.0,33770.0,28739.0,27252.0,30061.0,31907.0,32909.0,29999.0,29965.0,29735.0,28381.166666666668,4651.227265165853,6,8.08,3.0,28.74,6.0,12.94
32574.0,31846.0,19194.0,14446.0,10761.0,12073.0,18453.0,22220.0,30205.0,19930.0,23315.0,20634.0,25787.0,20045.0,28584.0,22407.533333333333,5320.171524386116,4,9.41,2.0,43.75,5.0,81.08
29297.0,37370.0,30184.0,16094.0,14377.0,21969.0,29689.0,30749.0,31695.0,21575.0,29051.0,30847.0,30563.0,24413.0,28577.0,23389.933333333334,7237.4329331761155,5,4.77,8.0,29.2,13.0,17.5
31034.0,37368.0,25492.0,14356.0,13737.0,20011.0,24876.0,32101.0,26175.0,22200.0,29571.0,31801.0,17659.0,20929.0,23839.0,25787.9,5511.809293689324,4,4.94,5.0,45.53,9.0,2.16
